#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:16:53       2      6      4      0      0      0      0     11      0 
 17:16:53       3      6      4      0      0      0      0      0     36 
 17:16:54       0     21     12      0      0      0      0    188     38 
 17:16:54       1      6      5      0      0      0      0      0      1 
 17:16:54       2      6      4      0      0      0      0      0      5 
 17:16:54       3      6      4      0      0      0      0      0      2 
 17:16:55       0     20     12      0      0      0      0    178     41 
 17:16:55       1      3      2      0      0      0      0      6      0 
 17:16:55       2      3      2      0      0      0      0      0      1 
 17:16:55       3      3      2      0      0      0      0     10      0 
 17:16:57       0     19     11      0      0      0      0    188     21 
 17:16:57       1      3      2      0      0      0      0      0      0 
 17:16:57       2      3      2      0      0      0      0     11      0 
 17:16:57       3      3      2      0      0      0      0      0      2 
 17:16:58       0     19     12      0      0      0      0    188     27 
 17:16:58       1      3      2      0      0      0      0      0      1 
 17:16:58       2      3      2      0      0      0      0      2      4 
 17:16:58       3      3      2      0      0      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:16:59       0     21     12      0      0      0      0    188     42 
 17:16:59       1      6      5      0      0      0      0      7      0 
 17:16:59       2      3      2      0      0      0      0      0      5 
 17:16:59       3      3      2      0      0      0      0      0      1 
 17:17:00       0     19     11      0      0      0      0    162     41 
 17:17:00       1      3      2      0      0      0      0      7      2 
 17:17:00       2      3      2      0      0      0      0      0      1 
 17:17:00       3      3      2      0      0      0      0     10      0 
 17:17:01       0     20     12      0      0      0      0     89     41 
 17:17:01       1      6      5      0      0      0      0      0      3 
 17:17:01       2      6      4      0      0      0      0      0      0 
 17:17:01       3      6      4      0      0      0      0      0     36 
 17:17:02       0     21     12      0      0      0      0    157     26 
 17:17:02       1      6      5      0      0      0      0      0      1 
 17:17:02       2      3      2      0      0      0      0     11      0 
 17:17:02       3      3      2      0      0      0      0      0     37 
 17:17:04       0     19     12      0      0      0      0    188     20 
 17:17:04       1      3      2      0      0      0      0      0      0 
 17:17:04       2      3      2      0      0      0      0     11      0 
 17:17:04       3      3      2      0      0      0      0      0      1 
 17:17:05       0     20     12      0      0      0      0    188     42 
 17:17:05       1      6      5      0      0      0      0      0      0 
 17:17:05       2      6      4      0      0      0      0      0      6 
 17:17:05       3      6      4      0      0      0      0      0      0 
 17:17:06       0     20     12      0      0      0      0    188     41 
